gun,ay,tavg,yagis_turu
14,9,27.7,0
15,9,27.2,0
16,9,26.6,0
17,9,28.1,0
18,9,29.2,0
19,9,27.7,0
20,9,27.9,0
21,9,22.2,1
22,9,19.1,1
23,9,20.0,0
24,9,20.7,0
25,9,21.8,0
26,9,19.8,1
27,9,16.1,1
28,9,16.3,0
29,9,15.6,0
30,9,11.8,1
1,10,13.7,1
2,10,17.6,1
3,10,17.5,0
4,10,18.1,0
5,10,20.3,0
6,10,21.3,0
7,10,14.9,1
8,10,13.9,1
9,10,16.1,0
10,10,17.5,0
11,10,16.6,0
12,10,16.6,0
13,10,18.2,0
14,10,18.2,0
15,10,17.7,0
16,10,19.1,0
17,10,18.1,0
18,10,19.3,0
19,10,18.6,0
20,10,18.2,0
21,10,18.8,0
22,10,18.6,0
23,10,17.1,0
24,10,15.2,1
25,10,8.3,1
26,10,12.9,1
27,10,12.7,0
28,10,10.7,1
29,10,13.3,1
30,10,12.6,0
31,10,9.6,0
1,11,7.1,0
2,11,8.0,0
3,11,9.6,0
4,11,12.6,0
5,11,11.2,1
6,11,11.6,0
7,11,12.2,0
8,11,13.3,0
9,11,11.9,1
10,11,11.9,0
11,11,11.1,0
12,11,15.5,1
13,11,17.7,0
14,11,15.2,0
15,11,13.6,0
16,11,13.1,0
17,11,12.8,0
18,11,12.3,1
19,11,10.4,1
20,11,6.1,1
21,11,8.1,1
22,11,9.7,0
23,11,12.2,0
24,11,9.0,0
25,11,9.6,0
26,11,10.0,0
27,11,12.4,1
28,11,6.8,1
29,11,7.9,0
30,11,12.9,1
1,12,18.4,0
2,12,18.0,0
3,12,18.7,0
4,12,11.4,0
5,12,6.0,0
6,12,7.3,0
7,12,7.1,0
8,12,8.9,0
9,12,13.8,0
10,12,6.6,1
11,12,9.6,0
12,12,11.3,0
13,12,7.5,1
14,12,11.8,1
15,12,10.5,0
16,12,16.1,1
17,12,9.3,1
18,12,5.4,1
20,12,1.9,1
21,12,1.6,0
22,12,0.4,0
23,12,2.9,0
24,12,2.9,0
25,12,6.2,0
26,12,6.4,0
27,12,9.2,0
28,12,13.8,1
29,12,11.4,1
30,12,6.1,1
31,12,6.8,1
1,1,8.4,0
2,1,8.9,0
3,1,7.3,0
4,1,5.0,1
5,1,6.2,0
6,1,7.4,0
7,1,5.7,0
8,1,7.1,0
9,1,7.9,0
10,1,8.6,0
12,1,7.9,1
13,1,5.6,1
14,1,1.1,0
15,1,1.1,1
17,1,8.8,1
18,1,5.9,1
19,1,6.5,0
20,1,7.7,0
21,1,4.6,1
22,1,5.0,1
23,1,3.4,1
24,1,0.6,0
25,1,1.6,0
26,1,2.3,0
27,1,2.7,0
28,1,3.8,0
29,1,5.9,0
30,1,6.4,0
31,1,8.6,0
1,2,10.6,0
2,2,13.9,0
3,2,14.2,0
4,2,11.1,1
5,2,7.7,0
6,2,6.3,0
7,2,5.3,0
8,2,10.6,1
9,2,9.6,1
10,2,7.1,0
11,2,3.3,1
12,2,4.6,1
13,2,6.4,0
14,2,8.5,1
15,2,7.2,1
16,2,7.9,0
17,2,7.9,0
18,2,7.1,0
19,2,7.3,0
20,2,6.4,0
21,2,7.1,1
22,2,6.6,1
23,2,6.6,1
24,2,6.2,0
25,2,1.4,0
26,2,1.4,0
27,2,-2.1,2
28,2,-1.3,2
1,3,-2.3,2
2,3,1.2,2
3,3,9.1,2
4,3,8.3,1
5,3,6.8,0
6,3,8.1,1
7,3,17.9,1
8,3,10.2,0
9,3,12.7,1
10,3,12.2,0
11,3,13.4,0
12,3,14.9,0
13,3,14.0,1
14,3,12.7,1
15,3,12.9,1
16,3,13.6,1
17,3,17.3,0
18,3,17.6,1
19,3,6.9,1
20,3,8.9,1
21,3,13.3,1
23,3,6.3,1
25,3,6.3,1
26,3,11.1,1
27,3,12.1,1
28,3,7.1,1
29,3,12.7,1
30,3,14.3,0
31,3,16.4,0
1,4,17.4,0
2,4,15.4,0
3,4,14.8,0
4,4,16.4,0
5,4,17.4,0
6,4,19.8,0
7,4,17.6,0
8,4,17.6,0
9,4,18.6,0
10,4,19.2,0
11,4,17.4,0
12,4,19.7,0
13,4,20.9,0
14,4,20.6,0
15,4,18.0,0
16,4,17.6,0
17,4,18.1,0
18,4,20.1,0
19,4,20.8,0
20,4,15.9,1
21,4,18.6,0
22,4,19.6,0
23,4,22.2,0
24,4,23.3,0
25,4,23.7,0
26,4,26.3,0
27,4,25.3,1
28,4,23.9,0
29,4,23.6,0
30,4,24.1,0
1,5,23.3,0
2,5,18.3,0
3,5,21.6,0
4,5,23.3,0
5,5,24.3,0
6,5,21.7,0
7,5,19.6,1
8,5,21.8,0
9,5,21.9,1
10,5,19.2,1
11,5,20.5,1
12,5,19.8,0
13,5,20.1,0
